  	МВШ 	ТМА	%
1000_1 	29	33	14%
1000_3 	71	76	7%
1000_5 	121	127	5%
1000_7 	185	199	8%
1000_9 	306	326	7%
  	  		
100_1 	6	7	17%
100_3 	13	15	15%
100_5 	20	23	15%
100_7 	26	29	12%
100_9 	44	47	7%
  	  		
20_1 	3	3	0%
20_3 	5	5	0%
20_5 	6	7	17%
20_7 	8	9	13%
20_9 	11	11	0%
  	  		
250_1 	10	11	10%
250_3 	24	28	17%
250_5 	38	43	13%
250_7 	60	60	0%
250_9 	94	100	6%
  	  		
4_1 	2	2	0%
  	  		
500_1 	17	20	18%
500_3 	43	45	5%
500_5 	66	73	11%
500_7 	104	111	7%
500_9 	172	175	2%
  	  		
50_1 	5	6	20%
50_3 	8	9	13%
50_5 	11	13	18%
50_7 	16	18	13%
50_9 	24	25	4%
70-1 	5	5	0%
70_3 	10	11	10%
70_5 	15	17	13%
70_7 	21	23	10%
70_9 	32	35	9%
